Name,RSS URL
France 24,https://www.france24.com/fr/rss
France 24 International (en),https://www.france24.com/en/rss
France 24 Europe,https://www.france24.com/en/europe/rss
RFI France,https://www.rfi.fr/fr/france/rss
RFI International (en),https://www.rfi.fr/en/france/rss
The Local France,https://feeds.thelocal.com/rss/fr
Le Monde,https://www.lemonde.fr/rss/une.xml
Mediapart,https://www.mediapart.fr/articles/feed
France Diplomacy,https://www.diplomatie.gouv.fr/spip.php?page=rss
France Today,https://www.francetoday.com/feed
Sud Ouest,https://www.sudouest.fr/essentiel/rss.xml
Midi Libre,https://www.midilibre.fr/rss.xml
L'Est Républicain,https://www.estrepublicain.fr/rss
France Soir,https://www.francesoir.fr/rss.xml
Le Nouvel Obs,https://www.nouvelobs.com/a-la-une/rss.xml
Ouest-France,https://www.ouest-france.fr/rss/une
La France Agricole,https://www.lafranceagricole.fr/rss
