Name,RSS URL
Deutschlandfunk Nachrichten,https://www.deutschlandfunk.de/nachrichten-100.rss
Deutschlandfunk Politik,https://www.deutschlandfunk.de/politikportal-100.rss
Deutschlandfunk Wirtschaft,https://www.deutschlandfunk.de/wirtschaft-106.rss
Deutschlandfunk Wissen,https://www.deutschlandfunk.de/wissen-106.rss
Deutschlandfunk Kultur Politik,https://www.deutschlandfunkkultur.de/politik-114.rss
Deutschlandfunk Kultur Bücher,https://www.deutschlandfunkkultur.de/buecher-108.rss
DER SPIEGEL,https://spiegel.de/international/ind..
ZEIT ONLINE,https://newsfeed.zeit.de/index
The Local Germany,https://feeds.thelocal.com/rss/de
Kieler Nachrichten,https://kn-online.de/arc/outboundfee..
heise online News,https://www.heise.de/rss/heise-atom.xml
IamExpat.de,https://www.iamexpat.de/feed
