Name,RSS URL
Retronauts,https://www.retronauts.com/feed
AUSRETROGAMER,http://feeds.feedburner.com/ausretrogamer
Indie Retro News,https://www.indieretronews.com/feeds/posts/default
Retro Gaming Discussion Show (RGDS),https://retrogamingdailyshow.libsyn.com/rss
RF Generation Retro Gaming News,https://rfgeneration.com/news/blog.rss
Arcade Attack,https://www.arcadeattack.co.uk/feed
FRGCB - Finnish Retro Game Comparison Blog,https://frgcb.blogspot.com/feeds/posts/default
Classic-Games.net,https://classic-games.net/feed
Infinity Retro,https://infinityretro.com/feed
Retro Garden,https://retrogarden.co.uk/feed
Vintage Computing and Gaming,https://www.vintagecomputing.com/index.php/feed
Retro Game Corps,https://retrogamecorps.com/feed
Retro vGames Blog,https://retrovgames.com/feed
Arcade Blogger,https://arcadeblogger.com/feed
Vintage is the New Old,https://vintageisthenewold.com/feed
RetroAchievements,https://retroachievements.org/rss/feed.php
