Sorszám,Feed Neve,RSS Feed URL
1,Wyborcza.pl RSS Feed,https://wyborcza.pl/pub/rss/najnowsze_wyborcza.xml
2,Notes From Poland RSS Feed,https://notesfrompoland.com/feed/
3,Rzeczpospolita RSS Feed,https://www.rp.pl/rss_main?unknown-old-rss
4,Gazeta Krakowska RSS Feed,https://gazetakrakowska.pl/rss/gazetakrakowska.xml
5,Nowy Dziennik RSS Feed,https://dziennik.com/feed/
6,Dziennik Wschodni RSS Feed,https://www.dziennikwschodni.pl/rss
7,Nowa Trybuna Opolska RSS Feed,https://nto.pl/rss/nowatrybunaopolska.xml
8,Kurier Poranny RSS Feed,https://poranny.pl/rss/kurierporanny.xml
9,Głos Wielkopolski RSS Feed,https://gloswielkopolski.pl/rss/gloswielkopolski.xml
10,Warsaw Insider RSS Feed,https://warsawinsider.pl/feed/
11,Fakt.pl RSS Feed,https://www.fakt.pl/rss
12,Życie Warszawy RSS Feed,https://www.zw.com.pl/rss/1.html
