Sorszám,Feed Neve,RSS Feed URL
1,deutschland.de RSS Feed,https://www.deutschland.de/en/feed-news/rss.xml
2,DER SPIEGEL RSS Feed,https://www.spiegel.de/international/index.rss
3,ZEIT ONLINE RSS Feed,http://newsfeed.zeit.de/index
4,The Local Germany RSS Feed,https://feeds.thelocal.com/rss/de
5,Kieler Nachrichten RSS Feed,https://www.kn-online.de/arc/outboundfeeds/rss/
6,JUNGE FREIHEIT RSS Feed,https://jungefreiheit.de/feed/
7,taz RSS Feed,https://taz.de/!p4608;rss/
8,Abendzeitung RSS Feed,https://www.abendzeitung-muenchen.de/storage/rss/rss/alle-artikel-abendzeitung.xml
9,Lübecker Nachrichten RSS Feed,https://www.ln-online.de/arc/outboundfeeds/rss/
10,Ostsee Zeitung RSS Feed,https://www.ostsee-zeitung.de/arc/outboundfeeds/rss/
11,Handelsblatt RSS Feed,https://www.handelsblatt.com/contentexport/feed/top-themen
12,Oberhessische Presse RSS Feed,https://www.op-marburg.de/arc/outboundfeeds/rss/
13,Süddeutsche Zeitung RSS Feed,https://rss.sueddeutsche.de/rss/Topthemen
14,Kölner Stadt-Anzeiger RSS Feed,https://feed.ksta.de/feed/rss/index.rss
15,neues deutschland RSS Feed,https://www.nd-aktuell.de/rss/aktuell.php
16,Stuttgart Journal RSS Feed,https://stuttgart-journal.de/tp3/feed/
17,Ruhr Nachrichten RSS Feed,https://www.ruhrnachrichten.de/feed/
18,Stern RSS Feed,https://www.stern.de/feed/standard/alle-nachrichten/
19,Freie Presse RSS Feed,https://www.freiepresse.de/rss/rss_chemnitz.php
20,Münstersche Zeitung RSS Feed,https://www.muensterschezeitung.de/rss/feed/mz_lokales
21,General-Anzeiger RSS Feed,https://ga.de/feed.rss
22,Hamburger Morgenpost RSS Feed,https://www.mopo.de/feed/
23,junge Welt RSS Feed,https://www.jungewelt.de/feeds/newsticker.rss
24,Rheinische Post RSS Feed,https://rp-online.de/feed.rss
25,Frankfurter Allgemeine Zeitung RSS Feed,https://www.faz.net/rss/aktuell/
26,Hannoversche Allgemeine RSS Feed,https://www.haz.de/arc/outboundfeeds/rss/
27,LVZ RSS Feed,https://www.lvz.de/arc/outboundfeeds/rss/
28,German Brief RSS Feed,https://www.germanbrief.com/blog-feed.xml
29,The Munich Eye RSS Feed,https://themunicheye.com/sitemap.rss
30,Main-Post RSS Feed,https://www.mainpost.de/storage/rss/rss/topnews.xml
