Sorszám,Feed Neve,RSS Feed URL
1,EL PAÍS RSS Feed,https://feeds.elpais.com/mrss-s/pages/ep/site/english.elpais.com/portada
2,Elmundo RSS Feed,https://e00-elmundo.uecdn.es/rss/portada.xml
3,El Diario RSS Feed,https://www.eldiario.es/rss
4,The Local Spain RSS Feed,https://feeds.thelocal.com/rss/es
5,Euro Weekly News RSS Feed,https://euroweeklynews.com/feed/
6,The Olive Press RSS Feed,https://www.theolivepress.es/feed/
7,The Canary News RSS Feed,https://thecanarynews.com/feed/
8,El Diario NY RSS Feed,https://eldiariony.com/feed/
9,Majorca Daily Bulletin RSS Feed,https://www.majorcadailybulletin.com/feed.rss
10,The Leader Newspaper RSS Feed,https://theleader.info/feed/
11,Seaside Gazette RSS Feed,https://www.theseasidegazette.com/feed/
12,Madrid Metropolitan RSS Feed,https://www.madridmetropolitan.com/feed/
13,Valencia International RSS Feed,https://valencia-international.com/feed/
14,Valencian RSS Feed,https://valencian.es/feed/
15,Costa News RSS Feed,https://www.costa-news.com/feed/
16,Tenerife News RSS Feed,https://www.tenerifenews.com/feed/
17,The Resident RSS Feed,http://theresident.eu/feed/
